"","from_stop","to_stop","from.stop.code","from.stop.name","from.stop.desc","from.parent.stat","to.stop.code","to.stop.name","to.stop.desc","to.parent.stat"
"158",70174,70176,70174,"Reservoir","Reservoir - Green Line - Park Street & North","place-rsmnl",70176,"Beaconsfield","Beaconsfield - Green Line - Park Street & North","place-bcnfd"
"159",70179,70177,70179,"Brookline Hills","Brookline Hills - Green Line - (D) Riverside","place-brkhl",70177,"Beaconsfield","Beaconsfield - Green Line - (D) Riverside","place-bcnfd"
"160",70176,70178,70176,"Beaconsfield","Beaconsfield - Green Line - Park Street & North","place-bcnfd",70178,"Brookline Hills","Brookline Hills - Green Line - Park Street & North","place-brkhl"
"161",70181,70179,70181,"Brookline Village","Brookline Village - Green Line - (D) Riverside","place-bvmnl",70179,"Brookline Hills","Brookline Hills - Green Line - (D) Riverside","place-brkhl"
"162",70178,70180,70178,"Brookline Hills","Brookline Hills - Green Line - Park Street & North","place-brkhl",70180,"Brookline Village","Brookline Village - Green Line - Park Street & North","place-bvmnl"
"163",70183,70181,70183,"Longwood","Longwood - Green Line - (D) Riverside","place-longw",70181,"Brookline Village","Brookline Village - Green Line - (D) Riverside","place-bvmnl"
"164",70180,70182,70180,"Brookline Village","Brookline Village - Green Line - Park Street & North","place-bvmnl",70182,"Longwood","Longwood - Green Line - Park Street & North","place-longw"
"165",70151,70187,70151,"Kenmore","Kenmore - Green Line - Boston College/Cleveland Circle/Riverside","place-kencl",70187,"Fenway","Fenway - Green Line - (D) Riverside","place-fenwy"
"166",70202,70196,70202,"Government Center","Government Center - Green Line - Copley & West","place-gover",70196,"Park Street","Park Street - Green Line - (B) Boston College","place-pktrm"
"167",70202,70197,70202,"Government Center","Government Center - Green Line - Copley & West","place-gover",70197,"Park Street","Park Street - Green Line - (C) Cleveland Circle","place-pktrm"
