,stop_id_old,stop_code_old,stop_name_old,stop_desc_old,stop_lat,stop_lon,zone_id_old,stop_url_old,location_type_old,parent_station_old,wheelchair_boarding_old,stop_id_new,stop_code_new,stop_name_new,stop_desc_new,zone_id_new,stop_url_new,location_type_new,parent_station_new,wheelchair_boarding_new
113,70262,70262.0,Ashmont - Mattapan Line Inbound,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,70094,70094.0,Ashmont - Inbound,,,,0.0,place-asmnl,1.0
114,70262,70262.0,Ashmont - Mattapan Line Inbound,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,70261,70261.0,Ashmont - Mattapan Line,,,,0.0,place-asmnl,1.0
115,70262,70262.0,Ashmont - Mattapan Line Inbound,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,place-asmnl,,Ashmont,,,,1.0,,1.0
116,place-astao,,Assembly,,42.392811,-71.07725699999999,,,1.0,,1.0,70278,70278.0,Assembly - Inbound,,,,0.0,place-astao,1.0
117,place-astao,,Assembly,,42.392811,-71.07725699999999,,,1.0,,1.0,70279,70279.0,Assembly - Outbound,,,,0.0,place-astao,1.0
118,place-astao,,Assembly,,42.392811,-71.07725699999999,,,1.0,,1.0,place-astao,,Assembly,,,,1.0,,1.0
119,70278,70278.0,Assembly - Inbound,,42.392811,-71.07725699999999,,,0.0,place-astao,0.0,70278,70278.0,Assembly - Inbound,,,,0.0,place-astao,1.0
120,70278,70278.0,Assembly - Inbound,,42.392811,-71.07725699999999,,,0.0,place-astao,0.0,70279,70279.0,Assembly - Outbound,,,,0.0,place-astao,1.0
121,70278,70278.0,Assembly - Inbound,,42.392811,-71.07725699999999,,,0.0,place-astao,0.0,place-astao,,Assembly,,,,1.0,,1.0
122,70279,70279.0,Assembly - Outbound,,42.392811,-71.07725699999999,,,0.0,place-astao,0.0,70278,70278.0,Assembly - Inbound,,,,0.0,place-astao,1.0
123,70279,70279.0,Assembly - Outbound,,42.392811,-71.07725699999999,,,0.0,place-astao,0.0,70279,70279.0,Assembly - Outbound,,,,0.0,place-astao,1.0
124,70279,70279.0,Assembly - Outbound,,42.392811,-71.07725699999999,,,0.0,place-astao,0.0,place-astao,,Assembly,,,,1.0,,1.0
125,place-babck,,Babcock Street,,42.351820000000004,-71.12165,,,1.0,,2.0,70136,70136.0,Babcock Street - Inbound,,,,0.0,place-babck,2.0
126,place-babck,,Babcock Street,,42.351820000000004,-71.12165,,,1.0,,2.0,70137,70137.0,Babcock Street - Outbound,,,,0.0,place-babck,2.0
127,place-babck,,Babcock Street,,42.351820000000004,-71.12165,,,1.0,,2.0,place-babck,,Babcock Street,,,,1.0,,2.0
128,70136,70136.0,Babcock Street - Inbound,,42.351820000000004,-71.12165,,,0.0,place-babck,0.0,70136,70136.0,Babcock Street - Inbound,,,,0.0,place-babck,2.0
